action_level_PV,action_level_Substation1,action_level_Substation2,action_level_Compressor1,action_level_Compressor2,action_level_Compressor3,action_level_ThermalUnit,action_level_LNG,intended_height_PV,intended_height_Substation1,intended_height_Substation2,intended_height_Compressor1,intended_height_Compressor2,intended_height_Compressor3,intended_height_ThermalUnit,intended_height_LNG,executed_height_PV,executed_height_Substation1,executed_height_Substation2,executed_height_Compressor1,executed_height_Compressor2,executed_height_Compressor3,executed_height_ThermalUnit,executed_height_LNG,weight_W_g,weight_W_e,weight_W_ge,weight_W_gs,weight_W_ee,weight_W_es,cost_PV,cost_Substation1,cost_Substation2,cost_Compressor1,cost_Compressor2,cost_Compressor3,cost_ThermalUnit,cost_LNG,econ_impact,social_impact,action_gain,climate_drift,prev_loss,base_loss,new_loss,repeat_penalty,cost_penalty,normalized_cost,repeat_penalty_assets,trimmed_assets,total_cost,unused_budget,sea_level_offset,sea_level_delta,climate_scenario,reward,obs_json,year,episode,step_in_episode
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.133333,0.866667,0.133333,0.866667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007770211668685079,0.0028462127957027406,0.0,0.00010857990296365711,0.0022065662115977698,0.002315146114561427,0.002315146114561427,0.0,0.0,0.0,[],[],0.0,500000.0,1.0336241722106934,0.14382725954055786,SSP5-8.5,-0.5428995148182856,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.6666666865348816, 0.11122461408376694, 0.0037314516957849264, 0.001343326410278678]",50,0,10
0,0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.1,0.9,0.1,0.9,0.0,0.0,0.0,0.0,0.0,50911.688,0.0,0.0,0.0074728920590132475,0.002707618579734117,9.907621840612958e-05,-4.0822539111795824e-05,0.002263468888093326,0.0022226463489815303,0.0021235701305754007,0.0,0.20364675,0.101823375,[],[],50911.6875,449088.3125,1.0977442264556885,0.06412005424499512,SSP5-8.5,0.495847037589627,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.002222222276031971, 0.7333333492279053, 0.12920302152633667, 0.0038851057179272175, 0.0014231064124032855]",55,0,11
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.066667,0.933333,0.066667,0.933333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007661915849894285,0.003029017592780292,0.0,0.00022123965152605384,0.002072449714352088,0.002293689365878142,0.002293689365878142,0.0,0.0,0.0,[],[],0.0,500000.0,1.3196344375610352,0.22189021110534668,SSP5-8.5,-1.1061982576302691,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.008888889104127884, 0.0, 0.002222222276031971, 0.800000011920929, 0.13721802830696106, 0.0037364461459219456, 0.001353809260763228]",60,0,12
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.033333,0.966667,0.033333,0.966667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007651622407138348,0.0029731076501775533,0.0,-3.0361090442712364e-05,0.0022459499367882708,0.0022155888463455584,0.0022155888463455584,0.0,0.0,0.0,[],[],0.0,500000.0,1.382245659828186,0.06261122226715088,SSP5-8.5,0.15180545221356181,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.008888889104127884, 0.0, 0.002222222276031971, 0.8666666746139526, 0.1649543046951294, 0.0038309579249471426, 0.001514508854597807]",65,0,13
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007984955795109272,0.003173113305820152,0.0,9.979762984138173e-05,0.0021669996817801095,0.0022667973116214913,0.0022667973116214913,0.0,0.0,0.0,[],[],0.0,500000.0,1.4740067720413208,0.09176111221313477,SSP5-8.5,-0.49898814920690865,"[0.02222222276031971, 0.008888889104127884, 0.0, 0.0, 0.0, 0.008888889104127884, 0.0, 0.002222222276031971, 0.9333333373069763, 0.17278070747852325, 0.003825811203569174, 0.0014865538105368614]",70,0,14
5,0,0,0,0,2,0,0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.2,0.466667,0.533333,0.466667,0.533333,216202.4,0.0,0.0,0.0,0.0,50911.688,0.0,0.0,0.00817384710535407,0.003975777421146631,0.00140319549098392,0.00014073545335601626,0.004353771087491071,0.004494506540847087,0.003091311049863167,0.0,1.068456375,0.5342281875,[],[],267114.09375,232885.90625,0.11537063121795654,0.11537063121795654,SSP5-8.5,5.243843813139518,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0053548431023955345, 0.0039351643063127995]",0,1,0
5,0,0,0,0,0,0,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.433333,0.566667,0.433333,0.566667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008496737806126475,0.0042350165313109756,0.0,0.00014014129008508127,0.0030471551563611794,0.0031872964464462607,0.0031872964464462607,-1.0,0.0,0.0,[0],[],0.0,500000.0,0.1695035994052887,0.05413296818733215,SSP5-8.5,-1.7007064504254064,"[0.011111111380159855, 0.0, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.0, 0.06666667014360428, 0.014421328902244568, 0.004086923785507679, 0.0019878887105733156]",5,1,1
5,0,0,0,0,0,0,0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.4,0.6,0.4,0.6,216202.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007250769296661019,0.002493068328476511,0.0006786825698950529,2.1621223398213436e-05,0.0031423926700029827,0.003164013893401196,0.0024853313235061432,0.0,0.864809625,0.4324048125,[],[],216202.40625,283797.59375,0.21245023608207703,0.04294663667678833,SSP5-8.5,2.4204971074841977,"[0.011111111380159855, 0.0, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.0, 0.13333334028720856, 0.021187949925661087, 0.0042483690194785595, 0.0021175083238631487]",10,1,2
0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.366667,0.633333,0.366667,0.633333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007686475524678826,0.002616162455524318,0.0,0.00012748093847142006,0.002439107409482622,0.002566588347954042,0.002566588347954042,0.0,0.0,0.0,[],[],0.0,500000.0,0.3587445914745331,0.14629435539245605,SSP5-8.5,-0.6374046923571003,"[0.02222222276031971, 0.0, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.0, 0.20000000298023224, 0.02655627951025963, 0.003625384531915188, 0.001246534171514213]",15,1,3
0,0,1,0,0,0,0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.333333,0.666667,0.333333,0.666667,0.0,0.0,38383.28,0.0,0.0,0.0,0.0,0.0,0.007594536989927292,0.002410346372926142,0.00012863560021742675,2.4472322822510252e-05,0.0025164098665658896,0.0025408821893884,0.002412246589170973,0.0,0.153533125,0.0767665625,[],[],38383.28125,461616.71875,0.4124086797237396,0.05366408824920654,SSP5-8.5,0.36728326197458244,"[0.02222222276031971, 0.0, 0.0, 0.0, 0.0, 0.004444444552063942, 0.0, 0.0, 0.2666666805744171, 0.044843073934316635, 0.0038432376459240913, 0.0013080812059342861]",20,1,4
